uuid,data_generating_centre,epirr_id,Mean_CpG_Coverage,BS_conversion_Rate,GC_cov_Correlation
2110cdcf-b319-4def-9957-f2decf99d694,BLUEPRINT,IHECRE00000004.3,52.36,1,0.35
150f6503-c7ab-44fb-a903-ebf1b17b2625,BLUEPRINT,IHECRE00000008.3,30.2,1,0.42
0cc882b9-8b8a-47a0-a3b9-c7e93a064919,BLUEPRINT,IHECRE00000013.3,29.15,1,0.4
5f3f06d0-a02c-442d-b1e7-2f8f5ce3749c,BLUEPRINT,IHECRE00000014.2,29.78,1,0.43
8e67dc03-9ec7-44ad-b29e-5f8ae6fd6378,BLUEPRINT,IHECRE00000016.3,29.16,0.98,0.42
42f5ce34-deb7-4ac0-b9e4-302f2814e3a0,BLUEPRINT,IHECRE00000019.3,37.66,1,0.42
cc8b1943-96f3-497f-bd99-83c84c228e98,BLUEPRINT,IHECRE00000022.3,35.59,1,0.4
cd6fa223-5c5c-4293-8a6b-25eed4ad5550,BLUEPRINT,IHECRE00000024.3,35.81,1,0.4
d7bd1bfe-5d6c-4be1-bc9b-094a6266714f,BLUEPRINT,IHECRE00000027.3,53.94,1,0.4
6ab91028-2769-4fb9-94bb-137da86c2735,BLUEPRINT,IHECRE00000034.3,34.28,1,0.39
fadda90c-701d-4d69-b4ae-9a9af8d0c915,BLUEPRINT,IHECRE00000043.3,29.38,0.97,0.42
ddf1b990-2a4f-4019-a988-de526c2abc94,BLUEPRINT,IHECRE00000045.3,30.83,1,0.4
ac9478e6-dade-4c0b-814e-7abd3b0f5112,BLUEPRINT,IHECRE00000048.3,56.52,1,0.34
edd0742f-4dc4-48e3-a0e0-a74c90d5c4ca,BLUEPRINT,IHECRE00000051.3,36.29,1,0.44
a13c3b27-1cad-463a-9f2b-a023b60700e7,BLUEPRINT,IHECRE00000053.3,51.56,1,0.36
781f245e-f91b-424c-a30d-a4183339f467,BLUEPRINT,IHECRE00000054.3,34.97,1,0.42
6bc6f0c2-79ba-4bae-bd7d-f0e99697d044,BLUEPRINT,IHECRE00000055.3,35.36,1,0.41
