epigenome	mark	ChromImpute_top1%	ChromImpute_corr_clip500	Average_top1%	Average_corr_clip500
IHECRE00000001.4	H3K27ac	36.6233	0.5919	25.7384	0.4965
IHECRE00000002.3	H3K27ac	81.4518	0.9274	50.0326	0.6581
IHECRE00000004.3	H3K27ac	59.5038	0.8205	42.8848	0.7064
IHECRE00000008.3	H3K27ac	43.4742	0.5839	29.4967	0.4259
IHECRE00000009.3	H3K27ac	37.5631	0.6172	29.866	0.5563
IHECRE00000010.3	H3K27ac	77.7221	0.9071	52.043	0.7621
IHECRE00000011.3	H3K27ac	74.8267	0.8683	47.6183	0.6019
IHECRE00000013.3	H3K27ac	43.3047	0.6629	31.8353	0.5582
IHECRE00000014.2	H3K27ac	50.7755	0.7668	35.5577	0.6501
IHECRE00000016.3	H3K27ac	77.8841	0.8924	50.6276	0.6673
IHECRE00000017.3	H3K27ac	54.4855	0.6938	38.8098	0.5834
IHECRE00000019.3	H3K27ac	58.9781	0.7118	40.4389	0.5402
IHECRE00000022.3	H3K27ac	41.0442	0.5952	32.3497	0.5378
IHECRE00000024.3	H3K27ac	65.5087	0.7975	44.3379	0.6615
IHECRE00000026.3	H3K27ac	70.2994	0.8466	52.4765	0.701
IHECRE00000027.3	H3K27ac	48.9281	0.665	40.0098	0.6732
IHECRE00000031.3	H3K27ac	50.9767	0.6457	41.0174	0.5171
IHECRE00000034.3	H3K27ac	30.4398	0.553	24.2863	0.4779
IHECRE00000035.3	H3K27ac	48.0947	0.6452	32.7798	0.5182
IHECRE00000041.3	H3K27ac	50.6649	0.6435	39.0055	0.5034
IHECRE00000043.3	H3K27ac	76.296	0.8836	49.8451	0.6547
IHECRE00000048.3	H3K27ac	65.3445	0.8137	49.4687	0.7342
IHECRE00000049.3	H3K27ac	35.5814	0.5379	26.5314	0.4498
IHECRE00000051.3	H3K27ac	70.553	0.8038	47.4708	0.6245
IHECRE00000053.3	H3K27ac	60.0312	0.8292	42.5524	0.7201
IHECRE00000054.3	H3K27ac	61.8804	0.7705	40.9879	0.6197
IHECRE00000055.3	H3K27ac	65.3193	0.8197	47.0065	0.6959
IHECRE00000058.3	H3K27ac	9.2567	0.2429	8.0387	0.212
IHECRE00000059.3	H3K27ac	42.1487	0.6527	29.9492	0.5061
IHECRE00000060.3	H3K27ac	71.7685	0.8371	48.1372	0.6317
IHECRE00000070.3	H3K27ac	21.1282	0.5052	19.816	0.5034
IHECRE00000071.3	H3K27ac	39.8989	0.548	29.1794	0.4289
IHECRE00000073.3	H3K27ac	67.6872	0.7012	43.0017	0.503
IHECRE00000075.3	H3K27ac	32.0057	0.6285	26.6405	0.5536
IHECRE00000076.3	H3K27ac	37.0156	0.5	26.7585	0.4287
IHECRE00000083.3	H3K27ac	56.2192	0.729	40.7358	0.6138
IHECRE00000084.3	H3K27ac	70.1177	0.8346	48.0904	0.6488
IHECRE00000085.3	H3K27ac	68.9206	0.8165	47.3664	0.625
IHECRE00000087.3	H3K27ac	75.7054	0.8638	47.3747	0.5951
IHECRE00000090.3	H3K27ac	83.4712	0.9313	61.2368	0.8439
IHECRE00000094.3	H3K27ac	32.7964	0.5422	26.5921	0.4675
IHECRE00000095.3	H3K27ac	73.2557	0.8263	46.545	0.6617
IHECRE00000096.3	H3K27ac	54.8207	0.7024	41.9187	0.6666
IHECRE00000097.3	H3K27ac	69.3991	0.805	50.5679	0.731
IHECRE00000099.3	H3K27ac	71.0007	0.8518	37.4572	0.5732
IHECRE00000101.3	H3K27ac	70.6079	0.8121	53.5943	0.776
IHECRE00000102.3	H3K27ac	75.1518	0.8837	54.7043	0.7906
IHECRE00000105.3	H3K27ac	42.5135	0.6636	31.4318	0.5725
IHECRE00000109.3	H3K27ac	88.3391	0.9506	54.7661	0.7942
IHECRE00000112.3	H3K27ac	46.676	0.7239	36.0517	0.6306
IHECRE00000114.3	H3K27ac	52.812	0.7316	46.1056	0.7384
